# This file was produced by bcftools stats (1.24+htslib-1.24) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  results/variants/NIST7035_filtered_variants.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	results/variants/NIST7035_filtered_variants.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
#
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
#
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	1
SN	0	number of records:	283102
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	249261
SN	0	number of MNPs:	0
SN	0	number of indels:	33879
SN	0	number of others:	0
SN	0	number of multiallelic sites:	757
SN	0	number of multiallelic SNP sites:	60
# TSTV, transitions/transversions
#   - transitions, see https://en.wikipedia.org/wiki/Transition_(genetics)
#   - transversions, see https://en.wikipedia.org/wiki/Transversion
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	149710	99611	1.50	149656	99518	1.50
# SiS, Singleton stats:
#   - allele count, i.e. the number of singleton genotypes (AC=1)
#   - number of transitions, see above
#   - number of transversions, see above
#   - repeat-consistent, inconsistent and n/a: experimental and useless stats [DEPRECATED]
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	72374	46949	25425	12558	0	0	12558
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	72374	46949	25425	12558	0	0	12558
AF	0	0.990000	176947	102761	74186	21859	0	0	21859
# QUAL, Stats by quality
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	120.8	5	1	4	13
QUAL	0	120.9	21	16	5	1
QUAL	0	121.0	1	0	1	0
QUAL	0	121.1	39	31	8	4
QUAL	0	121.2	0	0	0	2
QUAL	0	121.5	0	0	0	1
QUAL	0	121.6	135	88	47	29
QUAL	0	121.7	0	0	0	3
QUAL	0	121.8	926	564	362	453
QUAL	0	121.9	9	7	2	0
QUAL	0	122.0	0	0	0	1
QUAL	0	122.1	34	27	7	0
QUAL	0	122.4	0	0	0	1
QUAL	0	122.5	1	1	0	0
QUAL	0	122.6	138	82	56	24
QUAL	0	122.8	0	0	0	2
QUAL	0	122.9	14	11	3	0
QUAL	0	123.0	0	0	0	1
QUAL	0	123.1	60	48	12	1
QUAL	0	123.5	2	2	0	0
QUAL	0	123.6	139	98	41	21
QUAL	0	123.7	1	1	0	0
QUAL	0	123.8	0	0	0	1
QUAL	0	123.9	5	1	4	1
QUAL	0	124.1	84	64	20	4
QUAL	0	124.6	171	120	51	35
QUAL	0	124.8	0	0	0	1
QUAL	0	124.9	12	8	4	4
QUAL	0	125.0	0	0	0	2
QUAL	0	125.1	134	95	39	10
QUAL	0	125.6	144	95	49	15
QUAL	0	125.9	32	18	14	0
QUAL	0	126.0	0	0	0	2
QUAL	0	126.1	93	69	24	1
QUAL	0	126.5	1	1	0	0
QUAL	0	126.6	142	91	51	22
QUAL	0	126.7	0	0	0	1
QUAL	0	126.9	21	10	11	5
QUAL	0	127.0	0	0	0	2
QUAL	0	127.1	105	79	26	2
QUAL	0	127.2	1	1	0	0
QUAL	0	127.6	173	117	56	26
QUAL	0	127.8	0	0	0	1
QUAL	0	127.9	16	8	8	2
QUAL	0	128.0	0	0	0	1
QUAL	0	128.1	85	61	24	10
QUAL	0	128.2	0	0	0	1
QUAL	0	128.3	1	0	1	0
QUAL	0	128.4	1	1	0	0
QUAL	0	128.6	153	105	48	15
QUAL	0	128.7	0	0	0	1
QUAL	0	128.9	8	5	3	11
QUAL	0	129.0	0	0	0	1
QUAL	0	129.1	75	54	21	18
QUAL	0	129.6	150	105	45	19
QUAL	0	129.7	1	0	1	0
QUAL	0	129.8	0	0	0	1
QUAL	0	129.9	4	2	2	1
QUAL	0	130.0	1	0	1	2
QUAL	0	130.1	64	45	19	2
QUAL	0	130.5	0	0	0	1
QUAL	0	130.6	161	104	57	28
QUAL	0	130.7	0	0	0	2
QUAL	0	130.9	1	0	1	9
QUAL	0	131.0	0	0	0	3
QUAL	0	131.1	54	32	22	6
QUAL	0	131.2	0	0	0	1
QUAL	0	131.6	146	89	57	18
QUAL	0	131.9	4	4	0	1
QUAL	0	132.0	0	0	0	4
QUAL	0	132.1	60	37	23	4
QUAL	0	132.6	154	104	50	21
QUAL	0	132.9	9	9	0	4
QUAL	0	133.0	0	0	0	1
QUAL	0	133.1	69	43	26	3
QUAL	0	133.3	1	0	1	0
QUAL	0	133.6	212	147	65	29
QUAL	0	133.7	1	0	1	0
QUAL	0	133.9	37	24	13	3
QUAL	0	134.0	1	1	0	2
QUAL	0	134.1	53	34	19	1
QUAL	0	134.2	1	0	1	0
QUAL	0	134.5	0	0	0	1
QUAL	0	134.6	174	109	65	20
QUAL	0	134.9	10	7	3	1
QUAL	0	135.0	2	1	1	2
QUAL	0	135.1	80	62	18	4
QUAL	0	135.6	160	107	53	19
QUAL	0	135.8	0	0	0	1
QUAL	0	135.9	7	4	3	7
QUAL	0	136.0	0	0	0	5
QUAL	0	136.1	68	48	20	31
QUAL	0	136.5	0	0	0	1
QUAL	0	136.6	189	124	65	20
QUAL	0	136.7	0	0	0	1
QUAL	0	136.9	10	5	5	7
QUAL	0	137.0	1	1	0	3
QUAL	0	137.1	52	37	15	2
QUAL	0	137.6	163	121	42	31
QUAL	0	137.8	0	0	0	2
QUAL	0	137.9	10	6	4	5
QUAL	0	138.0	2	0	2	2
QUAL	0	138.1	41	28	13	4
QUAL	0	138.6	159	107	52	21
QUAL	0	138.7	0	0	0	2
QUAL	0	138.8	1	0	1	0
QUAL	0	138.9	18	13	5	7
QUAL	0	139.0	1	0	1	0
QUAL	0	139.1	29	21	8	2
QUAL	0	139.2	0	0	0	1
QUAL	0	139.5	0	0	0	1
QUAL	0	139.6	183	112	71	34
QUAL	0	139.9	13	13	0	1
QUAL	0	140.0	0	0	0	1
QUAL	0	140.1	30	18	12	6
QUAL	0	140.6	157	98	59	26
QUAL	0	140.9	9	6	3	0
QUAL	0	141.0	1	1	0	1
QUAL	0	141.1	30	23	7	2
QUAL	0	141.6	164	107	57	21
QUAL	0	141.9	22	10	12	7
QUAL	0	142.0	0	0	0	4
QUAL	0	142.1	33	21	12	4
QUAL	0	142.2	1	0	1	0
QUAL	0	142.6	210	142	68	31
QUAL	0	142.9	10	7	3	6
QUAL	0	143.0	0	0	0	2
QUAL	0	143.1	48	36	12	7
QUAL	0	143.2	0	0	0	1
QUAL	0	143.6	152	91	61	21
QUAL	0	143.9	19	16	3	1
QUAL	0	144.0	0	0	0	2
QUAL	0	144.1	64	42	22	6
QUAL	0	144.6	168	117	51	14
QUAL	0	144.9	26	15	11	6
QUAL	0	145.0	1	0	1	2
QUAL	0	145.1	77	45	32	1
QUAL	0	145.6	184	119	65	27
QUAL	0	145.9	13	6	7	2
QUAL	0	146.0	3	2	1	2
QUAL	0	146.1	88	57	31	7
QUAL	0	146.6	166	117	49	25
QUAL	0	146.9	10	8	2	2
QUAL	0	147.0	0	0	0	3
QUAL	0	147.1	81	56	25	10
QUAL	0	147.4	0	0	0	1
QUAL	0	147.5	0	0	0	1
QUAL	0	147.6	144	96	48	23
QUAL	0	147.9	16	12	4	3
QUAL	0	148.0	1	0	1	1
QUAL	0	148.1	80	55	25	16
QUAL	0	148.2	0	0	0	2
QUAL	0	148.6	186	139	47	38
QUAL	0	148.7	0	0	0	1
QUAL	0	148.9	14	10	4	4
QUAL	0	149.0	0	0	0	2
QUAL	0	149.1	62	41	21	6
QUAL	0	149.6	135	93	42	31
QUAL	0	149.8	1	1	0	0
QUAL	0	149.9	18	16	2	3
QUAL	0	150.1	70	45	25	1
QUAL	0	150.2	1	1	0	2
QUAL	0	150.6	132	75	57	25
QUAL	0	150.7	0	0	0	1
QUAL	0	150.9	14	10	4	0
QUAL	0	151.0	1	0	1	11
QUAL	0	151.1	65	39	26	0
QUAL	0	151.2	1	0	1	0
QUAL	0	151.6	175	110	65	44
QUAL	0	151.7	1	1	0	1
QUAL	0	151.9	15	10	5	5
QUAL	0	152.0	0	0	0	2
QUAL	0	152.1	77	54	23	1
QUAL	0	152.2	0	0	0	1
QUAL	0	152.5	0	0	0	1
QUAL	0	152.6	143	96	47	27
QUAL	0	152.9	15	9	6	4
QUAL	0	153.0	0	0	0	3
QUAL	0	153.1	71	45	26	2
QUAL	0	153.6	115	77	38	22
QUAL	0	153.8	0	0	0	1
QUAL	0	153.9	31	22	9	4
QUAL	0	154.0	1	1	0	1
QUAL	0	154.1	74	48	26	7
QUAL	0	154.6	168	115	53	32
QUAL	0	154.9	38	28	10	9
QUAL	0	155.0	0	0	0	3
QUAL	0	155.1	57	38	19	5
QUAL	0	155.5	0	0	0	1
QUAL	0	155.6	115	72	43	17
QUAL	0	155.9	36	24	12	3
QUAL	0	156.0	0	0	0	1
QUAL	0	156.1	61	45	16	6
QUAL	0	156.6	117	80	37	17
QUAL	0	156.7	0	0	0	3
QUAL	0	156.9	70	50	20	1
QUAL	0	157.0	1	0	1	1
QUAL	0	157.1	32	19	13	4
QUAL	0	157.6	183	117	66	41
QUAL	0	157.9	43	30	13	12
QUAL	0	158.1	15	10	5	3
QUAL	0	158.4	0	0	0	1
QUAL	0	158.6	128	90	38	20
QUAL	0	158.9	59	46	13	1
QUAL	0	159.0	0	0	0	2
QUAL	0	159.1	9	4	5	3
QUAL	0	159.4	0	0	0	1
QUAL	0	159.6	116	81	35	11
QUAL	0	159.9	69	47	22	4
QUAL	0	160.0	1	1	0	4
QUAL	0	160.1	11	6	5	6
QUAL	0	160.6	124	91	33	10
QUAL	0	160.8	0	0	0	1
QUAL	0	160.9	70	54	16	3
QUAL	0	161.0	2	2	0	2
QUAL	0	161.1	10	8	2	2
QUAL	0	161.6	127	88	39	17
QUAL	0	161.8	1	1	0	0
QUAL	0	161.9	77	46	31	4
QUAL	0	162.0	1	0	1	2
QUAL	0	162.1	11	6	5	2
QUAL	0	162.6	129	89	40	14
QUAL	0	162.8	1	0	1	0
QUAL	0	162.9	68	48	20	1
QUAL	0	163.0	1	1	0	0
QUAL	0	163.1	6	4	2	3
QUAL	0	163.2	0	0	0	1
QUAL	0	163.4	0	0	0	1
QUAL	0	163.5	2	1	1	0
QUAL	0	163.6	154	111	43	19
QUAL	0	163.7	0	0	0	1
QUAL	0	163.9	58	40	18	12
QUAL	0	164.0	2	1	1	2
QUAL	0	164.1	3	1	2	6
QUAL	0	164.2	0	0	0	1
QUAL	0	164.5	0	0	0	1
QUAL	0	164.6	123	81	42	16
QUAL	0	164.8	1	1	0	0
QUAL	0	164.9	39	29	10	10
QUAL	0	165.0	1	1	0	1
QUAL	0	165.1	1	0	1	10
QUAL	0	165.2	0	0	0	2
QUAL	0	165.6	112	81	31	15
QUAL	0	165.9	41	26	15	3
QUAL	0	166.0	3	3	0	6
QUAL	0	166.1	457	294	163	221
QUAL	0	166.4	0	0	0	1
QUAL	0	166.6	169	127	42	21
QUAL	0	166.9	43	24	19	2
QUAL	0	167.0	0	0	0	8
QUAL	0	167.1	0	0	0	2
QUAL	0	167.6	157	100	57	15
QUAL	0	167.7	0	0	0	1
QUAL	0	167.9	50	32	18	8
QUAL	0	168.0	5	3	2	2
QUAL	0	168.6	135	89	46	15
QUAL	0	168.7	0	0	0	3
QUAL	0	168.9	49	37	12	12
QUAL	0	169.0	3	2	1	3
QUAL	0	169.6	151	90	61	17
QUAL	0	169.9	54	40	14	6
QUAL	0	170.0	9	7	2	1
QUAL	0	170.1	0	0	0	1
QUAL	0	170.6	121	84	37	20
QUAL	0	170.7	0	0	0	1
QUAL	0	170.9	41	26	15	2
QUAL	0	171.0	2	2	0	5
QUAL	0	171.6	163	107	56	17
QUAL	0	171.9	40	31	9	3
QUAL	0	172.0	4	4	0	3
QUAL	0	172.6	148	102	46	32
QUAL	0	172.8	1	1	0	1
QUAL	0	172.9	50	31	19	18
QUAL	0	173.0	2	0	2	0
QUAL	0	173.6	144	93	51	26
QUAL	0	173.9	44	28	16	4
QUAL	0	174.0	4	2	2	1
QUAL	0	174.3	1	1	0	0
QUAL	0	174.6	130	85	45	16
QUAL	0	174.9	46	32	14	4
QUAL	0	175.0	5	4	1	1
QUAL	0	175.1	0	0	0	1
QUAL	0	175.6	148	91	57	20
QUAL	0	175.9	19	12	7	6
QUAL	0	176.0	3	0	3	7
QUAL	0	176.6	143	88	55	22
QUAL	0	176.9	30	20	10	9
QUAL	0	177.0	1	1	0	3
QUAL	0	177.6	128	92	36	12
QUAL	0	177.7	1	0	1	0
QUAL	0	177.9	27	21	6	4
QUAL	0	178.0	0	0	0	3
QUAL	0	178.1	0	0	0	2
QUAL	0	178.4	1	0	1	0
QUAL	0	178.6	154	102	52	25
QUAL	0	178.7	1	1	0	0
QUAL	0	178.9	22	18	4	2
QUAL	0	179.0	0	0	0	1
QUAL	0	179.6	120	78	42	13
QUAL	0	179.8	1	1	0	1
QUAL	0	179.9	30	18	12	2
QUAL	0	180.0	0	0	0	5
QUAL	0	180.6	142	96	46	9
QUAL	0	180.9	39	28	11	2
QUAL	0	181.0	1	1	0	1
QUAL	0	181.6	151	102	49	25
QUAL	0	181.9	33	22	11	6
QUAL	0	182.0	3	2	1	4
QUAL	0	182.6	121	86	35	14
QUAL	0	182.9	33	22	11	7
QUAL	0	183.0	2	1	1	2
QUAL	0	183.1	1	0	1	0
QUAL	0	183.6	121	82	39	6
QUAL	0	183.7	0	0	0	1
QUAL	0	183.8	0	0	0	1
QUAL	0	183.9	48	36	12	3
QUAL	0	184.0	7	4	3	5
QUAL	0	184.6	132	88	44	33
QUAL	0	184.9	61	44	17	5
QUAL	0	185.2	1	1	0	0
QUAL	0	185.6	121	93	28	8
QUAL	0	185.8	1	0	1	0
QUAL	0	185.9	55	42	13	6
QUAL	0	186.0	2	2	0	1
QUAL	0	186.1	1	0	1	0
QUAL	0	186.6	97	70	27	11
QUAL	0	186.8	0	0	0	1
QUAL	0	186.9	67	48	19	4
QUAL	0	187.0	4	1	3	4
QUAL	0	187.4	0	0	0	1
QUAL	0	187.6	138	97	41	39
QUAL	0	187.9	72	48	24	20
QUAL	0	188.0	5	4	1	3
QUAL	0	188.1	0	0	0	1
QUAL	0	188.6	132	91	41	8
QUAL	0	188.9	64	41	23	7
QUAL	0	189.0	3	3	0	2
QUAL	0	189.6	92	63	29	11
QUAL	0	189.7	1	1	0	0
QUAL	0	189.9	65	45	20	2
QUAL	0	190.0	5	4	1	5
QUAL	0	190.6	137	94	43	37
QUAL	0	190.9	79	52	27	7
QUAL	0	191.0	8	5	3	3
QUAL	0	191.4	1	0	1	0
QUAL	0	191.6	103	60	43	19
QUAL	0	191.7	0	0	0	1
QUAL	0	191.9	74	56	18	2
QUAL	0	192.0	6	4	2	3
QUAL	0	192.6	102	72	30	6
QUAL	0	192.8	0	0	0	1
QUAL	0	192.9	78	52	26	5
QUAL	0	193.0	5	4	1	4
QUAL	0	193.2	0	0	0	1
QUAL	0	193.6	138	87	51	21
QUAL	0	193.9	98	73	25	1
QUAL	0	194.0	4	4	0	2
QUAL	0	194.6	111	82	29	16
QUAL	0	194.7	1	1	0	0
QUAL	0	194.8	0	0	0	2
QUAL	0	194.9	84	47	37	6
QUAL	0	195.0	4	4	0	3
QUAL	0	195.4	0	0	0	1
QUAL	0	195.6	113	80	33	15
QUAL	0	195.9	119	76	43	11
QUAL	0	196.0	8	6	2	5
QUAL	0	196.6	156	102	54	36
QUAL	0	196.9	90	59	31	5
QUAL	0	197.0	12	6	6	2
QUAL	0	197.6	107	77	30	12
QUAL	0	197.8	0	0	0	1
QUAL	0	197.9	78	55	23	2
QUAL	0	198.0	7	5	2	2
QUAL	0	198.5	0	0	0	1
QUAL	0	198.6	110	77	33	14
QUAL	0	198.9	60	32	28	8
QUAL	0	199.0	4	3	1	3
QUAL	0	199.6	155	101	54	22
QUAL	0	199.9	55	32	23	16
QUAL	0	200.0	7	6	1	0
QUAL	0	200.6	94	68	26	20
QUAL	0	200.7	2	2	0	0
QUAL	0	200.9	66	46	20	3
QUAL	0	201.0	6	6	0	4
QUAL	0	201.2	0	0	0	1
QUAL	0	201.6	121	85	36	8
QUAL	0	201.9	42	28	14	3
QUAL	0	202.0	3	1	2	2
QUAL	0	202.1	0	0	0	1
QUAL	0	202.6	118	82	36	13
QUAL	0	202.7	0	0	0	1
QUAL	0	202.9	47	34	13	5
QUAL	0	203.0	5	4	1	2
QUAL	0	203.6	128	87	41	7
QUAL	0	203.8	1	0	1	0
QUAL	0	203.9	35	20	15	7
QUAL	0	204.0	4	2	2	6
QUAL	0	204.1	1	0	1	0
QUAL	0	204.6	114	77	37	12
QUAL	0	204.9	27	20	7	4
QUAL	0	205.0	12	8	4	1
QUAL	0	205.4	1	1	0	0
QUAL	0	205.6	133	95	38	21
QUAL	0	205.8	0	0	0	1
QUAL	0	205.9	35	23	12	3
QUAL	0	206.0	8	6	2	4
QUAL	0	206.6	127	93	34	17
QUAL	0	206.7	0	0	0	1
QUAL	0	206.9	31	25	6	4
QUAL	0	207.0	12	9	3	2
QUAL	0	207.6	121	83	38	9
QUAL	0	207.9	37	22	15	4
QUAL	0	208.0	16	11	5	1
QUAL	0	208.2	1	1	0	0
QUAL	0	208.6	97	68	29	13
QUAL	0	208.7	1	0	1	0
QUAL	0	208.9	34	21	13	6
QUAL	0	209.0	17	14	3	3
QUAL	0	209.1	1	0	1	0
QUAL	0	209.6	124	86	38	15
QUAL	0	209.8	1	1	0	0
QUAL	0	209.9	24	17	7	10
QUAL	0	210.0	14	9	5	0
QUAL	0	210.6	123	89	34	5
QUAL	0	210.9	196	116	80	118
QUAL	0	211.0	15	11	4	2
QUAL	0	211.4	0	0	0	1
QUAL	0	211.6	116	75	41	15
QUAL	0	211.9	30	22	8	3
QUAL	0	212.0	14	10	4	2
QUAL	0	212.6	115	76	39	9
QUAL	0	212.9	14	10	4	2
QUAL	0	213.0	4	4	0	3
QUAL	0	213.3	1	0	1	0
QUAL	0	213.6	135	91	44	11
QUAL	0	213.9	12	10	2	6
QUAL	0	214.0	9	6	3	1
QUAL	0	214.6	118	75	43	16
QUAL	0	214.9	17	11	6	1
QUAL	0	215.0	8	5	3	4
QUAL	0	215.6	129	94	35	9
QUAL	0	215.8	1	1	0	0
QUAL	0	215.9	13	10	3	1
QUAL	0	216.0	7	6	1	5
QUAL	0	216.1	1	0	1	0
QUAL	0	216.2	0	0	0	1
QUAL	0	216.6	98	73	25	6
QUAL	0	216.9	13	10	3	2
QUAL	0	217.0	8	4	4	6
QUAL	0	217.2	0	0	0	2
QUAL	0	217.6	111	76	35	16
QUAL	0	217.9	18	13	5	4
QUAL	0	218.0	10	6	4	1
QUAL	0	218.6	105	64	41	10
QUAL	0	218.9	20	12	8	2
QUAL	0	219.0	13	11	2	4
QUAL	0	219.6	100	60	40	15
QUAL	0	219.7	1	0	1	0
QUAL	0	219.8	1	1	0	0
QUAL	0	219.9	11	8	3	2
QUAL	0	220.0	13	9	4	3
QUAL	0	220.1	1	0	1	0
QUAL	0	220.6	131	80	51	18
QUAL	0	220.9	21	17	4	6
QUAL	0	221.0	13	10	3	2
QUAL	0	221.1	0	0	0	1
QUAL	0	221.4	1	0	1	0
QUAL	0	221.6	95	65	30	9
QUAL	0	221.8	0	0	0	1
QUAL	0	221.9	28	18	10	6
QUAL	0	222.0	19	13	6	0
QUAL	0	222.6	96	72	24	10
QUAL	0	222.7	1	1	0	0
QUAL	0	222.9	21	17	4	6
QUAL	0	223.0	18	12	6	3
QUAL	0	223.2	0	0	0	1
QUAL	0	223.6	161	106	55	21
QUAL	0	223.9	19	16	3	2
QUAL	0	224.0	20	16	4	1
QUAL	0	224.6	84	61	23	11
QUAL	0	224.7	1	1	0	1
QUAL	0	224.9	22	10	12	0
QUAL	0	225.0	19	12	7	5
QUAL	0	225.3	0	0	0	1
QUAL	0	225.4	0	0	0	1
QUAL	0	225.6	106	76	30	8
QUAL	0	225.9	44	28	16	2
QUAL	0	226.0	24	17	7	4
QUAL	0	226.2	1	1	0	0
QUAL	0	226.6	110	75	35	25
QUAL	0	226.8	0	0	0	1
QUAL	0	226.9	27	21	6	3
QUAL	0	227.0	25	18	7	2
QUAL	0	227.6	107	77	30	14
QUAL	0	227.7	1	1	0	0
QUAL	0	227.9	38	29	9	3
QUAL	0	228.0	35	25	10	3
QUAL	0	228.4	0	0	0	1
QUAL	0	228.6	84	63	21	10
QUAL	0	228.7	2	2	0	0
QUAL	0	228.9	29	21	8	3
QUAL	0	229.0	45	34	11	2
QUAL	0	229.6	121	73	48	12
QUAL	0	229.9	40	26	14	2
QUAL	0	230.0	45	35	10	5
QUAL	0	230.6	95	64	31	16
QUAL	0	230.8	0	0	0	1
QUAL	0	230.9	23	14	9	4
QUAL	0	231.0	33	26	7	7
QUAL	0	231.6	98	60	38	8
QUAL	0	231.9	31	20	11	4
QUAL	0	232.0	50	37	13	4
QUAL	0	232.4	1	1	0	0
QUAL	0	232.6	113	75	38	35
QUAL	0	232.9	37	28	9	2
QUAL	0	233.0	49	39	10	3
QUAL	0	233.6	99	71	28	11
QUAL	0	233.7	0	0	0	1
QUAL	0	233.8	1	0	1	0
QUAL	0	233.9	27	20	7	3
QUAL	0	234.0	35	20	15	1
QUAL	0	234.6	93	57	36	9
QUAL	0	234.7	1	0	1	0
QUAL	0	234.9	35	23	12	4
QUAL	0	235.0	39	32	7	11
QUAL	0	235.6	117	80	37	24
QUAL	0	235.9	41	27	14	15
QUAL	0	236.0	41	32	9	2
QUAL	0	236.5	0	0	0	1
QUAL	0	236.6	108	79	29	18
QUAL	0	236.7	1	1	0	0
QUAL	0	236.9	34	23	11	1
QUAL	0	237.0	25	19	6	1
QUAL	0	237.2	1	1	0	0
QUAL	0	237.6	90	59	31	13
QUAL	0	237.8	0	0	0	1
QUAL	0	237.9	43	29	14	2
QUAL	0	238.0	21	16	5	3
QUAL	0	238.6	130	85	45	19
QUAL	0	238.7	1	0	1	0
QUAL	0	238.9	28	20	8	3
QUAL	0	239.0	31	23	8	3
QUAL	0	239.2	0	0	0	1
QUAL	0	239.6	93	64	29	11
QUAL	0	239.9	20	14	6	0
QUAL	0	240.0	27	17	10	8
QUAL	0	240.6	103	77	26	11
QUAL	0	240.9	20	10	10	0
QUAL	0	241.0	33	23	10	3
QUAL	0	241.6	131	79	52	15
QUAL	0	241.7	3	3	0	0
QUAL	0	241.9	11	9	2	8
QUAL	0	242.0	36	24	12	2
QUAL	0	242.6	101	71	30	9
QUAL	0	242.7	1	1	0	0
QUAL	0	242.9	5	2	3	6
QUAL	0	243.0	36	20	16	4
QUAL	0	243.6	103	66	37	6
QUAL	0	243.7	0	0	0	1
QUAL	0	243.9	11	6	5	5
QUAL	0	244.0	39	30	9	5
QUAL	0	244.6	113	69	44	14
QUAL	0	244.8	0	0	0	1
QUAL	0	244.9	5	4	1	7
QUAL	0	245.0	35	20	15	3
QUAL	0	245.6	113	79	34	11
QUAL	0	245.8	1	1	0	0
QUAL	0	245.9	5	3	2	5
QUAL	0	246.0	38	28	10	3
QUAL	0	246.6	99	63	36	6
QUAL	0	246.7	1	1	0	0
QUAL	0	246.9	3	2	1	2
QUAL	0	247.0	39	27	12	4
QUAL	0	247.6	113	71	42	14
QUAL	0	247.7	1	1	0	0
QUAL	0	247.8	0	0	0	1
QUAL	0	247.9	7	4	3	11
QUAL	0	248.0	33	24	9	4
QUAL	0	248.6	111	75	36	11
QUAL	0	248.7	1	1	0	0
QUAL	0	248.9	2	1	1	3
QUAL	0	249.0	26	18	8	3
QUAL	0	249.6	96	66	30	5
QUAL	0	249.9	3	1	2	4
QUAL	0	250.0	34	25	9	2
QUAL	0	250.6	88	56	32	15
QUAL	0	250.7	0	0	0	1
QUAL	0	250.9	2	0	2	0
QUAL	0	251.0	22	12	10	5
QUAL	0	251.6	106	64	42	5
QUAL	0	251.7	1	0	1	0
QUAL	0	251.9	2	1	1	1
QUAL	0	252.0	19	14	5	1
QUAL	0	252.1	1	0	1	0
QUAL	0	252.3	1	1	0	0
QUAL	0	252.6	99	76	23	10
QUAL	0	252.9	1	1	0	5
QUAL	0	253.0	19	12	7	1
QUAL	0	253.6	107	74	33	23
QUAL	0	253.9	5	4	1	3
QUAL	0	254.0	15	10	5	3
QUAL	0	254.6	112	70	42	2
QUAL	0	254.7	1	1	0	0
QUAL	0	254.9	3	2	1	1
QUAL	0	255.0	26	20	6	2
QUAL	0	255.1	1	1	0	0
QUAL	0	255.6	70	50	20	11
QUAL	0	255.9	137	82	55	84
QUAL	0	256.0	26	18	8	1
QUAL	0	256.4	0	0	0	1
QUAL	0	256.6	115	80	35	10
QUAL	0	256.9	0	0	0	3
QUAL	0	257.0	19	14	5	2
QUAL	0	257.1	1	0	1	0
QUAL	0	257.6	71	48	23	10
QUAL	0	257.7	1	0	1	0
QUAL	0	257.9	0	0	0	2
QUAL	0	258.0	27	19	8	0
QUAL	0	258.6	90	63	27	8
QUAL	0	259.0	39	30	9	4
QUAL	0	259.6	115	81	34	20
QUAL	0	259.7	1	1	0	0
QUAL	0	259.9	0	0	0	1
QUAL	0	260.0	38	28	10	2
QUAL	0	260.5	1	0	1	0
QUAL	0	260.6	102	68	34	8
QUAL	0	260.9	0	0	0	2
QUAL	0	261.0	34	27	7	5
QUAL	0	261.6	73	54	19	4
QUAL	0	261.9	0	0	0	3
QUAL	0	262.0	47	38	9	2
QUAL	0	262.1	0	0	0	1
QUAL	0	262.6	104	76	28	21
QUAL	0	262.7	3	1	2	0
QUAL	0	262.9	0	0	0	1
QUAL	0	263.0	35	20	15	2
QUAL	0	263.3	2	1	1	0
QUAL	0	263.6	82	63	19	7
QUAL	0	263.9	0	0	0	1
QUAL	0	264.0	54	39	15	2
QUAL	0	264.6	74	55	19	9
QUAL	0	264.7	0	0	0	1
QUAL	0	264.9	0	0	0	1
QUAL	0	265.0	43	33	10	1
QUAL	0	265.4	0	0	0	1
QUAL	0	265.6	94	58	36	23
QUAL	0	265.8	2	1	1	0
QUAL	0	265.9	0	0	0	1
QUAL	0	266.0	48	38	10	6
QUAL	0	266.6	64	47	17	14
QUAL	0	266.9	0	0	0	1
QUAL	0	267.0	49	37	12	3
QUAL	0	267.1	1	1	0	0
QUAL	0	267.6	98	70	28	6
QUAL	0	267.7	1	1	0	0
QUAL	0	267.9	0	0	0	3
QUAL	0	268.0	48	31	17	4
QUAL	0	268.6	126	78	48	19
QUAL	0	268.9	0	0	0	8
QUAL	0	269.0	50	37	13	2
QUAL	0	269.2	0	0	0	3
QUAL	0	269.6	82	51	31	5
QUAL	0	269.7	1	1	0	0
QUAL	0	269.8	1	1	0	0
QUAL	0	269.9	0	0	0	1
QUAL	0	270.0	55	37	18	2
QUAL	0	270.6	81	52	29	9
QUAL	0	270.9	0	0	0	1
QUAL	0	271.0	54	37	17	5
QUAL	0	271.6	106	71	35	8
